title.Tournament,title.DateTime UTC,title.Team1,title.Team2,title.Winner,title.DateTime UTC__precision
NLC 2022 Spring Qualifier,2021-10-05 17:49:00,London Esports,X7 Esports,1,0
NLC 2022 Spring Qualifier,2021-10-05 17:50:00,Lanomania,AaB Esport,1,0
NLC 2022 Spring Qualifier,2021-10-05 17:53:00,Munster Rugby Gaming,Dusty,2,0
Worlds 2021 Play-In,2021-10-05 11:09:00,Hanwha Life Esports,LNG Esports,2,0
Worlds 2021 Play-In,2021-10-05 12:00:00,Infinity Esports (Latin American Team),RED Canids,2,0
Worlds 2021 Play-In,2021-10-05 13:06:00,LNG Esports,PEACE (Oceanic Team),1,0
Worlds 2021 Play-In,2021-10-05 13:59:00,Hanwha Life Esports,Infinity Esports (Latin American Team),1,0
Worlds 2021 Play-In,2021-10-05 14:57:00,Unicorns Of Love.CIS,DetonatioN FocusMe,2,0
Worlds 2021 Play-In,2021-10-05 16:11:00,Galatasaray Esports,Beyond Gaming,1,0
Worlds 2021 Play-In,2021-10-05 17:17:00,DetonatioN FocusMe,Cloud9,2,0
Worlds 2021 Play-In,2021-10-05 18:13:00,Unicorns Of Love.CIS,Galatasaray Esports,2,0
LFL 2021 Finals,2021-10-04 15:12:00,Karmine Corp,Misfits Premier,1,0
LFL 2021 Finals,2021-10-04 17:38:00,Misfits Premier,Karmine Corp,1,0
LFL 2021 Finals,2021-10-04 18:20:00,Karmine Corp,Misfits Premier,1,0
LFL 2021 Finals,2021-10-04 19:19:00,Misfits Premier,Karmine Corp,1,0
LFL 2021 Finals,2021-10-04 20:16:00,Karmine Corp,Misfits Premier,2,0
Liga Nexo 2021 Split 2,2021-10-04 14:36:00,Astralis SB,QLASH Spain,1,0
Liga Nexo 2021 Split 2,2021-10-04 16:41:00,Phlox Gaming,UCAM Esports Club Academy,2,0
Liga Nexo 2021 Split 2,2021-10-04 17:40:00,Movistar Riders Academy,Dead Rabbits Club,1,0
Liga Nexo 2021 Split 2,2021-10-04 18:36:00,TOOOLS esports,Kawaii Kiwis,1,0
NLC 2022 Spring Qualifier,2021-10-04 16:36:00,X7 Esports,AaB Esport,2,0
NLC 2022 Spring Qualifier,2021-10-04 16:45:00,MnM Gaming,Absolved,2,0
NLC 2022 Spring Qualifier,2021-10-04 16:49:00,Resolve,Belfast Storm,1,0
NLC 2022 Spring Qualifier,2021-10-04 16:51:00,Lanomania,London Esports,1,0
NLC 2022 Spring Qualifier,2021-10-04 16:54:00,Viperio,Dusty,2,0
NLC 2022 Spring Qualifier,2021-10-04 16:55:00,LDN UTD,Team DeftFox,1,0
NLC 2022 Spring Qualifier,2021-10-04 16:56:00,Vanir,NYYRIKKI,1,0
NLC 2022 Spring Qualifier,2021-10-04 17:00:00,Munster Rugby Gaming,Bifrost,2,0
NLC 2022 Spring Qualifier,2021-10-04 17:35:00,Vanir,NYYRIKKI,1,0
NLC 2022 Spring Qualifier,2021-10-04 17:38:00,MnM Gaming,Absolved,2,0
NLC 2022 Spring Qualifier,2021-10-04 17:42:00,Dusty,Viperio,1,0
NLC 2022 Spring Qualifier,2021-10-04 17:42:00,Lanomania,London Esports,1,0
NLC 2022 Spring Qualifier,2021-10-04 17:53:00,X7 Esports,AaB Esport,2,0
NLC 2022 Spring Qualifier,2021-10-04 18:02:00,Bifrost,Munster Rugby Gaming,1,0
NLC 2022 Spring Qualifier,2021-10-04 18:08:00,LDN UTD,Team DeftFox,1,0
NLC 2022 Spring Qualifier,2021-10-04 18:14:00,Belfast Storm,Resolve,2,0
PRM Pro Division 2021 Winter Cup,2021-10-04 15:25:00,GamerLegion,mousesports,2,0
PRM Pro Division 2021 Winter Cup,2021-10-04 16:37:00,GamerLegion,mousesports,1,0
PRM Pro Division 2021 Winter Cup,2021-10-04 18:00:00,mousesports,GamerLegion,1,0
PRM Pro Division 2021 Winter Cup,2021-10-04 18:32:00,Unicorns Of Love Sexy Edition,PENTA 1860,2,0
PRM Pro Division 2021 Winter Cup,2021-10-04 19:43:00,PENTA 1860,Unicorns Of Love Sexy Edition,2,0
PRM Pro Division 2021 Winter Cup,2021-10-04 20:35:00,Unicorns Of Love Sexy Edition,PENTA 1860,1,0
PRM Pro Division 2021 Winter Cup,2021-10-03 15:40:00,E WIE EINFACH E-SPORTS,Berlin International Gaming,2,0
PRM Pro Division 2021 Winter Cup,2021-10-03 16:29:00,Berlin International Gaming,E WIE EINFACH E-SPORTS,1,0
PRM Pro Division 2021 Winter Cup,2021-10-03 17:25:00,FC Schalke 04 Evolution,SK Gaming Prime,1,0
PRM Pro Division 2021 Winter Cup,2021-10-03 18:38:00,SK Gaming Prime,FC Schalke 04 Evolution,1,0
PRM Pro Division 2021 Winter Cup,2021-10-03 19:28:00,FC Schalke 04 Evolution,SK Gaming Prime,1,0
Digital Crusade Season 4,2021-10-02 16:04:00,Nexus KTRL,Urban Esports,2,0
Digital Crusade Season 4,2021-10-02 17:13:00,Random 5,OneTap Gaming,2,0
Digital Crusade Season 4,2021-10-02 18:23:00,Lenovo Legion Honvéd,Infinite Gaming,1,0
Digital Crusade Season 4,2021-10-02 19:43:00,Racquestai,Cyber.MD,1,0
PRM 1st Division 2021 Winter,2021-10-01 15:51:00,mYinsanity,cowana Gaming,2,0
PRM 1st Division 2021 Winter,2021-10-01 16:46:00,No Need Orga,Eintracht Frankfurt,1,0
PRM 1st Division 2021 Winter,2021-10-01 17:43:00,Flayn eSports,TT willhaben,2,0
PRM 1st Division 2021 Winter,2021-10-01 18:39:00,Austrian Force eSports,Sprout (German Team),2,0
PRM 1st Division 2021 Winter,2021-10-01 19:38:00,404 Multigaming e.V.,TeamOrangeGaming,1,0
Hextech Series 1st Div 2021 Split 3,2021-09-30 15:55:00,Mind Invictus,NOV4 QUABU,2,0
Hextech Series 1st Div 2021 Split 3,2021-09-30 17:35:00,Shadowban,FROM ZERO TO HERO,1,0
Hextech Series 1st Div 2021 Split 3,2021-09-30 18:27:00,Abyssal Esport Club,Pawn Gaming (Spanish Team),1,0
Hextech Series 1st Div 2021 Split 3,2021-09-30 19:04:00,LK Gaming,Zeta Gaming,2,0
Digital Crusade Season 4,2021-09-29 16:34:00,OneTap Gaming,Lenovo Legion Honvéd,1,0
Digital Crusade Season 4,2021-09-29 17:06:00,Cyber.MD,Nexus KTRL,2,0
Digital Crusade Season 4,2021-09-29 18:07:00,Urban Esports,Random 5,1,0
Digital Crusade Season 4,2021-09-29 19:07:00,Infinite Gaming,Racquestai,2,0
PRM 1st Division 2021 Winter,2021-09-29 16:44:00,Austrian Force eSports,404 Multigaming e.V.,2,0
PRM 1st Division 2021 Winter,2021-09-29 17:43:00,No Need Orga,mYinsanity,2,0
PRM 1st Division 2021 Winter,2021-09-29 18:41:00,TeamOrangeGaming,cowana Gaming,2,0
PRM 1st Division 2021 Winter,2021-09-29 19:53:00,Flayn eSports,Eintracht Frankfurt,1,0
LCS Proving Grounds 2021 Summer,2021-09-27 00:25:00,100 Thieves Academy,Team Liquid Academy,1,0
LCS Proving Grounds 2021 Summer,2021-09-27 01:15:00,Team Liquid Academy,100 Thieves Academy,2,0
Liga Nexo 2021 Split 2,2021-09-27 15:14:00,Dead Rabbits Club,Kawaii Kiwis,2,0
Liga Nexo 2021 Split 2,2021-09-27 16:39:00,QLASH Spain,TOOOLS esports,2,0
Liga Nexo 2021 Split 2,2021-09-27 17:35:00,UCAM Esports Club Academy,Astralis SB,2,0
Liga Nexo 2021 Split 2,2021-09-27 18:32:00,Movistar Riders Academy,Phlox Gaming,1,0
PRM 1st Division 2021 Winter,2021-09-27 15:49:00,Flayn eSports,No Need Orga,1,0
PRM 1st Division 2021 Winter,2021-09-27 16:38:00,Eintracht Frankfurt,Sprout (German Team),1,0
PRM 1st Division 2021 Winter,2021-09-27 17:52:00,mYinsanity,TeamOrangeGaming,1,0
PRM 1st Division 2021 Winter,2021-09-27 18:52:00,404 Multigaming e.V.,TT willhaben,2,0
PRM 1st Division 2021 Winter,2021-09-27 19:48:00,cowana Gaming,Austrian Force eSports,1,0
