title.Tournament,title.DateTime UTC,title.Team1,title.Team2,title.Winner,title.DateTime UTC__precision
LPL 2020 Summer,2020-07-20 10:14:00,LGD Gaming,Team WE,1,0
LPL 2020 Summer,2020-07-20 11:17:00,Invictus Gaming,Victory Five,2,0
LPL 2020 Summer,2020-07-20 11:58:00,Invictus Gaming,Victory Five,1,0
LPL 2020 Summer,2020-07-20 12:41:00,Invictus Gaming,Victory Five,1,0
LVP SLO 2020 Summer,2020-07-20 15:40:00,G2 Arctic,Team Queso,1,0
LVP SLO 2020 Summer,2020-07-20 16:33:00,BCN Squad,Movistar Riders,2,0
LVP SLO 2020 Summer,2020-07-20 17:39:00,eMonkeyz,Cream Real Betis.EU,2,0
LVP SLO 2020 Summer,2020-07-20 18:52:00,MAD Lions Madrid,UCAM Esports Club,2,0
LVP SLO 2020 Summer,2020-07-20 19:48:00,Vodafone Giants.Spain,S2V Esports,2,0
NLC 2020 Summer,2020-07-20 17:36:00,Godsent,Team Singularity,1,0
PG Nationals 2020 Summer Playoffs,2020-07-20 15:26:00,Racoon (Italian Team),Cyberground Gaming,1,0
PG Nationals 2020 Summer Playoffs,2020-07-20 16:28:00,Racoon (Italian Team),Cyberground Gaming,2,0
PG Nationals 2020 Summer Playoffs,2020-07-20 17:24:00,Racoon (Italian Team),Cyberground Gaming,1,0
PG Nationals 2020 Summer Playoffs,2020-07-20 18:24:00,Racoon (Italian Team),Cyberground Gaming,2,0
PG Nationals 2020 Summer Playoffs,2020-07-20 19:29:00,Cyberground Gaming,Racoon (Italian Team),2,0
PRM 1st Division 2020 Summer,2020-07-20 16:00:00,Relic Esports,Tempered Fate,1,0
PRM 1st Division 2020 Summer,2020-07-20 17:00:00,MTW Gaming,Team Riverside,2,0
PRM 1st Division 2020 Summer,2020-07-20 18:00:00,Flayn eSports,Black Lion,1,0
PRM 1st Division 2020 Summer,2020-07-20 19:00:00,Aequilibritas E-Sports,Playing Ducks,1,0
PRM 1st Division 2020 Summer,2020-07-20 20:00:00,PENTA 1860,CPLAY,1,0
TES Denmark 2020 Summer,2020-07-20 15:56:00,Plejehjemmet Kalder,Wicked Gaming,1,0
TES Denmark 2020 Summer,2020-07-20 16:49:00,Atlando Esports,Hillerød eSport,2,0
TES Denmark 2020 Summer,2020-07-20 17:40:00,Havoc (Danish Team),Vipers Inc,1,0
TES Denmark 2020 Summer,2020-07-20 18:50:00,Masonic,Absolved,1,0
TES Denmark 2020 Summer,2020-07-20 19:44:00,Vipers Inc,Absolved,1,0
TES Finland 2020 Summer Playoffs,2020-07-20 15:42:00,BuzzKill,NYYRIKKI,2,0
TES Finland 2020 Summer Playoffs,2020-07-20 17:19:00,NYYRIKKI,BuzzKill,2,0
TES Finland 2020 Summer Playoffs,2020-07-20 18:14:00,BuzzKill,NYYRIKKI,1,0
TES Norway 2020 Summer Playoffs,2020-07-20 15:46:00,Bifrost,Viking Esports (Norwegian Team),2,0
TES Norway 2020 Summer Playoffs,2020-07-20 16:43:00,Viking Esports (Norwegian Team),Bifrost,1,0
TES Sweden 2020 Summer Playoffs,2020-07-20 14:57:00,UniQ Esports Club,Hybrid Esports,1,0
TES Sweden 2020 Summer Playoffs,2020-07-20 16:46:00,UniQ Esports Club,Hybrid Esports,2,0
TES Sweden 2020 Summer Playoffs,2020-07-20 17:51:00,Hybrid Esports,UniQ Esports Club,2,0
UKLC 2020 Summer,2020-07-20 16:15:00,London Esports,Barrage Academy,1,0
UKLC 2020 Summer,2020-07-20 17:48:00,NVision Esports,Enclave,1,0
UKLC 2020 Summer,2020-07-20 18:51:00,Demise,MnM Gaming Academy,1,0
UKLC 2020 Summer,2020-07-20 19:54:00,Bulldog Esports,Munster Rugby Gaming Academy,2,0
CBLOL 2020 Split 2,2020-07-19 14:56:00,Vivo Keyd,FURIA Esports,2,0
CBLOL 2020 Split 2,2020-07-19 17:18:00,KaBuM! e-Sports,INTZ,2,0
CBLOL 2020 Split 2,2020-07-19 18:10:00,Santos e-Sports,Flamengo Esports,2,0
CBLOL 2020 Split 2,2020-07-19 19:11:00,Prodigy Esports,paiN Gaming,1,0
Hitpoint Masters Season 14,2020-07-19 12:21:00,SINNERS Esports,BRUTE,1,0
Hitpoint Masters Season 14,2020-07-19 13:32:00,Vikingekrig Esports,Team Sampi,2,0
Hitpoint Masters Season 14,2020-07-19 15:03:00,SINNERS Esports,Gunrunners,1,0
Hitpoint Masters Season 14,2020-07-19 15:59:00,Cyber Gaming,Gunrunners,1,0
Hitpoint Masters Season 14,2020-07-19 16:56:00,eSuba,Team Sampi,1,0
Hitpoint Masters Season 14,2020-07-19 18:31:00,Cyber Gaming,Vikingekrig Esports,1,0
Hitpoint Masters Season 14,2020-07-19 19:47:00,Inside Games,BRUTE,1,0
Iceland Open 2020,2020-07-19 14:56:00,Excess Success,Fylkir Esports,1,0
Iceland Open 2020,2020-07-19 15:52:00,Excess Success,Fylkir Esports,1,0
Iceland Open 2020,2020-07-19 17:31:00,KR Reykjavík Esports,XY Esports,2,0
Iceland Open 2020,2020-07-19 18:54:00,XY Esports,KR Reykjavík Esports,1,0
Iceland Open 2020,2020-07-19 20:33:00,Excess Success,KR Reykjavík Esports,2,0
Iceland Open 2020,2020-07-19 21:28:00,Excess Success,KR Reykjavík Esports,1,0
Iceland Open 2020,2020-07-19 22:30:00,Excess Success,KR Reykjavík Esports,1,0
LCK 2020 Summer,2020-07-19 07:37:00,SeolHaeOne Prince,Hanwha Life Esports,1,0
LCK 2020 Summer,2020-07-19 08:48:00,Hanwha Life Esports,SeolHaeOne Prince,1,0
LCK 2020 Summer,2020-07-19 09:45:00,SeolHaeOne Prince,Hanwha Life Esports,2,0
LCK 2020 Summer,2020-07-19 10:46:00,Team Dynamics,DRX,2,0
LCK 2020 Summer,2020-07-19 12:23:00,DRX,Team Dynamics,1,0
LCS 2020 Summer,2020-07-19 19:32:00,100 Thieves,Team Liquid,2,0
LCS 2020 Summer,2020-07-19 20:39:00,Cloud9,FlyQuest,1,0
LCS 2020 Summer,2020-07-19 21:32:00,Counter Logic Gaming,Immortals,2,0
LCS 2020 Summer,2020-07-19 22:33:00,Golden Guardians,Dignitas,1,0
LDL 2020 Summer,2020-07-19 05:28:00,Dominus Esports Young,Top Esports Challenger,2,0
LDL 2020 Summer,2020-07-19 06:19:00,Top Esports Challenger,Dominus Esports Young,1,0
LDL 2020 Summer,2020-07-19 07:19:00,Invictus Gaming Young,LinGan e-Sports,1,0
LDL 2020 Summer,2020-07-19 07:35:00,eStar Young,Bilibili Gaming Junior,1,0
LDL 2020 Summer,2020-07-19 08:16:00,Invictus Gaming Young,LinGan e-Sports,1,0
LDL 2020 Summer,2020-07-19 08:24:00,Bilibili Gaming Junior,eStar Young,1,0
LDL 2020 Summer,2020-07-19 09:17:00,eStar Young,Bilibili Gaming Junior,2,0
LDL 2020 Summer,2020-07-19 09:25:00,optical spectrum E-sport,V5 87,2,0
LDL 2020 Summer,2020-07-19 10:14:00,optical spectrum E-sport,V5 87,2,0
LDL 2020 Summer,2020-07-19 10:29:00,Young Miracles,Victorious Gaming,1,0
LDL 2020 Summer,2020-07-19 11:24:00,Victorious Gaming,Young Miracles,2,0
Legends Weekend League 2020,2020-07-19 00:41:00,Polar Ace,LB Gurb Nation,2,0
LFL Division 2 2020,2020-07-19 12:29:00,GamersOrigin Academy,Tony Parker Adequat Academy,1,0
LFL Division 2 2020,2020-07-19 14:06:00,Team BDS,M'AZING,1,0
LFL Division 2 2020,2020-07-19 14:59:00,Team Oplon,Zephyr Esport,1,0
LFL Division 2 2020,2020-07-19 15:54:00,FC Nantes Esports,Team Eclypse,2,0
LFL Division 2 2020,2020-07-19 16:38:00,TrainHard eSport,Kameto Corp,2,0
LLA 2020 Closing,2020-07-19 19:00:00,Infinity Esports (Latin American Team),Azules Esports,1,0
LLA 2020 Closing,2020-07-19 20:06:00,All Knights,Pixel Esports Club,1,0
LLA 2020 Closing,2020-07-19 21:05:00,XTEN Esports,Rainbow7,2,0
LLA 2020 Closing,2020-07-19 21:58:00,Isurus,Furious Gaming,1,0
LPL 2020 Summer,2020-07-19 09:21:00,Vici Gaming,Top Esports,2,0
LPL 2020 Summer,2020-07-19 10:07:00,Top Esports,Vici Gaming,1,0
LPL 2020 Summer,2020-07-19 11:33:00,JD Gaming,FunPlus Phoenix,1,0
LPL 2020 Summer,2020-07-19 12:21:00,FunPlus Phoenix,JD Gaming,2,0
LPLOL 2020 Summer Playoffs,2020-07-19 13:44:00,Boavista FC,OFFSET Esports,1,0
LPLOL 2020 Summer Playoffs,2020-07-19 14:43:00,OFFSET Esports,Boavista FC,1,0
LPLOL 2020 Summer Playoffs,2020-07-19 15:47:00,Boavista FC,OFFSET Esports,2,0
LPLOL 2020 Summer Playoffs,2020-07-19 16:57:00,OFFSET Esports,Boavista FC,1,0
LTL 2020 Season,2020-07-19 00:50:00,Deliverance Esports,Goat Esports,1,0
LTL 2020 Season,2020-07-19 01:46:00,TopHard Esports,Zwan Gaming,1,0
LTL 2020 Season,2020-07-19 03:03:00,Zwan Gaming,TopHard Esports,1,0
LTL 2020 Season,2020-07-19 23:43:00,Beast Esports,Mad Revolution Gaming,1,0
PCS 2020 Summer,2020-07-19 08:43:00,Alpha Esports,PSG Talon,2,0
PCS 2020 Summer,2020-07-19 09:52:00,J Team,ahq eSports Club,2,0
PCS 2020 Summer,2020-07-19 11:08:00,Berjaya Dragons,Alpha Esports,1,0
PCS 2020 Summer,2020-07-19 12:15:00,Machi Esports,Resurgence,1,0
PCS 2020 Summer,2020-07-19 13:14:00,Liyab Esports,Nova Esports (Thai Team),2,0
PCS 2020 Summer,2020-07-19 14:36:00,Resurgence,Hong Kong Attitude,2,0
TCL 2020 Summer,2020-07-19 10:28:00,SuperMassive Esports,Galakticos,2,0
TCL 2020 Summer,2020-07-19 11:27:00,Istanbul Wildcats,Dark Passage,1,0
TCL 2020 Summer,2020-07-19 12:25:00,Galatasaray Esports,Beşiktaş Esports,1,0
TCL 2020 Summer,2020-07-19 13:20:00,5 Ronin,1907 Fenerbahçe Esports,1,0
TCL 2020 Summer,2020-07-19 14:12:00,Royal Youth,Team AURORA,2,0
TES Norway 2020 Summer Playoffs,2020-07-19 15:49:00,Bifrost,Vanir,2,0
TES Norway 2020 Summer Playoffs,2020-07-19 16:53:00,Bifrost,Vanir,1,0
TES Norway 2020 Summer Playoffs,2020-07-19 18:10:00,Bifrost,Vanir,1,0
UEM 2020,2020-07-19 10:22:00,Erasmus Esports,National Aviation University,1,0
UEM 2020,2020-07-19 10:46:00,UPV Stingrays,LDV Bzz Bzz,1,0
UEM 2020,2020-07-19 10:57:00,EPHEC eSport,Politecnico Di Torino,1,0
UEM 2020,2020-07-19 11:49:00,EPHEC eSport,Erasmus Esports,1,0
UEM 2020,2020-07-19 12:05:00,Politecnico Di Torino,LDV Bzz Bzz,2,0
UEM 2020,2020-07-19 12:06:00,UPV Stingrays,National Aviation University,1,0
UEM 2020,2020-07-19 13:05:00,Politecnico Di Torino,Erasmus Esports,2,0
UEM 2020,2020-07-19 13:06:00,National Aviation University,LDV Bzz Bzz,2,0
UEM 2020,2020-07-19 13:06:00,UPV Stingrays,EPHEC eSport,1,0
UEM 2020,2020-07-19 14:06:00,National Aviation University,EPHEC eSport,2,0
UEM 2020,2020-07-19 14:06:00,Politecnico Di Torino,UPV Stingrays,2,0
UEM 2020,2020-07-19 14:07:00,Erasmus Esports,LDV Bzz Bzz,1,0
UEM 2020,2020-07-19 15:07:00,Erasmus Esports,UPV Stingrays,2,0
UEM 2020,2020-07-19 15:09:00,EPHEC eSport,LDV Bzz Bzz,1,0
UKLC 2020 Summer,2020-07-19 16:12:00,Enclave,Munster Rugby Gaming Academy,2,0
UKLC 2020 Summer,2020-07-19 17:50:00,Barrage Academy,Demise,2,0
UKLC 2020 Summer,2020-07-19 18:54:00,MnM Gaming Academy,NVision Esports,2,0
UKLC 2020 Summer,2020-07-19 20:02:00,London Esports,Bulldog Esports,1,0
VCS 2020 Summer,2020-07-19 09:46:00,OverPower Esports,Saigon Buffalo,2,0
VCS 2020 Summer,2020-07-19 11:12:00,Saigon Buffalo,OverPower Esports,1,0
VCS 2020 Summer,2020-07-19 12:11:00,Percent Esports,Team Flash.Vietnam,2,0
VCS 2020 Summer,2020-07-19 13:12:00,Team Flash.Vietnam,Percent Esports,2,0
VCS 2020 Summer,2020-07-19 14:25:00,Percent Esports,Team Flash.Vietnam,2,0
CBLOL 2020 Split 2,2020-07-18 15:23:00,FURIA Esports,paiN Gaming,2,0
CBLOL 2020 Split 2,2020-07-18 16:54:00,INTZ,Vivo Keyd,2,0
CBLOL 2020 Split 2,2020-07-18 17:58:00,Santos e-Sports,Prodigy Esports,2,0
CBLOL 2020 Split 2,2020-07-18 19:08:00,Flamengo Esports,KaBuM! e-Sports,1,0
GUL 2020 Closing,2020-07-18 00:00:00,Polaris Gaming,G-Pride,2,0
GUL 2020 Closing,2020-07-18 01:00:00,Mad Kings,Cienciano Esports,1,0
GUL 2020 Closing,2020-07-18 02:00:00,Incubus,Diamond Doves,2,0
GUL 2020 Closing,2020-07-18 03:00:00,Instinct Esports,Deliverance Esports Peru,1,0
Iceland Open 2020,2020-07-18 18:00:00,TobeAnnounced,KR Reykjavík Esports,2,0
Iceland Open 2020,2020-07-18 18:32:00,Dusty Academy,XY Esports,1,0
Iceland Open 2020,2020-07-18 18:57:00,KR Reykjavík Esports,TobeAnnounced,2,0
Iceland Open 2020,2020-07-18 19:32:00,Dusty Academy,XY Esports,2,0
Iceland Open 2020,2020-07-18 19:47:00,TobeAnnounced,KR Reykjavík Esports,2,0
Iceland Open 2020,2020-07-18 20:20:00,Dusty Academy,XY Esports,2,0
Iceland Open 2020,2020-07-18 21:00:00,Fylkir Esports,TobeAnnounced,1,0
